Hyundai R300LC,"2007 г.,бензин,руль слева",$ 62 000,https://im.mashina.kg/tachka/images//1/d/9/1d97f082b137f6c3c22b79ad2d2529f3_240x180.jpg
Hyundai Колесные,"2010 г.,дизель,руль слева",$ 30 000,https://im.mashina.kg/tachka/images//2/e/a/2eafd72b684339753bf296e294437299_240x180.jpg
Hyundai Колесные,"2013 г.,дизель,руль слева, 13 635 км",$ 58 500,https://im.mashina.kg/tachka/images//5/c/c/5ccc83b8c7ccd5711a9e3cb909f530eb_240x180.jpg
Yanmar VIO,"2004 г.,дизель,руль слева",$ 20 000,https://im.mashina.kg/tachka/images//9/3/4/93453ae7f4b7c6a125d711b78ee0723d_240x180.jpg
Komatsu PW95,"2008 г.,дизель,руль слева, 10 000 км",$ 50 000,https://im.mashina.kg/tachka/images//e/2/8/e28c80627e61bcd328874ad0c095c09a_240x180.jpg
Hyundai Колесные,"2011 г.,дизель,руль слева, 12 000 км",$ 37 500,https://im.mashina.kg/tachka/images//0/3/0/03080bed8ffc972ed45f0f08c97bc8bc_240x180.jpg
Caterpillar Экскаваторы-погрузчики,"1997 г.,дизель,руль слева, 4 000 км",$ 27 999,https://im.mashina.kg/tachka/images//c/9/2/c9269481be54620cd55c6ba6e06da637_240x180.jpg
Hyundai Колесные,"2013 г.,дизель,руль слева, 14 500 км",$ 68 000,https://im.mashina.kg/tachka/images//3/9/5/395c55f039651d1381ec2c2da97c263b_240x180.jpg
Hyundai Колесные,"2012 г.,дизель,руль слева",$ 60 000,https://im.mashina.kg/tachka/images//4/7/1/4717e3ebfe5cc9d36303e791de10bf5f_240x180.jpg
XCMG WZ,"2013 г.,дизель,руль слева",$ 17 000,https://im.mashina.kg/tachka/images//9/e/f/9ef1a66b1ee951cdc43779a71bafcb2c_240x180.jpg
Hyundai Колесные,"2013 г.,дизель,руль слева, 11 500 км",$ 48 000,https://im.mashina.kg/tachka/images//e/a/c/eaca6a818361784f968b3817ae81a71b_240x180.jpg
Hyundai Колесные,"2013 г.,дизель,руль слева, 12 000 км",$ 66 000,https://im.mashina.kg/tachka/images//8/3/3/833872210ef99ec128f09f5061806de7_240x180.jpg
